trial,run,dog,chemical,event,start_time,end_time,cal
1,1,1,2E1H,1,71.7,72.7,44.8
1,1,1,Blank,1,39,43,48
1,1,1,Blank,1,69.2,70.7,48
1,1,1,bromooctane,1,42,43.8,51
1,1,1,bromooctane,2,66.2,69.5,51
1,1,1,methylbenzoate,1,39,40.3,54
1,1,1,methylbenzoate,2,57,61.5,54
1,1,1,methylbenzoate,3,64.4,67.7,54
1,1,2,2E1H,1,149,149.7,25.5
1,1,2,Blank,1,142,144.5,28.25
1,1,2,bromooctane,1,75,78,31
1,1,2,methylbenzoate,1,26.1,27.7,33.8
1,1,10,2E1H,1,64.5,65.8,14.5
1,1,10,2E1H,2,82.55,84.5,14.5
1,1,10,2E1H,3,103.45,104.3,14.5
1,1,10,Blank,1,78,81.5,16.5
1,1,10,Blank,2,103.5,106.5,16.5
1,1,10,bromooctane,1,69.4,71,18
1,1,10,bromooctane,2,75,75.8,18
1,1,10,bromooctane,3,102.9,103.9,18
1,1,10,methylbenzoate,1,102.75,103.7,19.7
1,1,11,2E1H,1,57.6,58.2,10.4
1,1,11,2E1H,2,66.3,67.2,10.4
1,1,11,2E1H,3,77.4,78.65,10.4
1,1,11,2E1H,4,82.9,85.3,10.4
1,1,11,2E1H,5,90.4,92.1,10.4
1,1,11,Blank,1,63.5,66.05,12
1,1,11,bromooctane,1,61.9,63,14
1,1,11,bromooctane,2,72.1,74,14
1,1,11,bromooctane,3,105.4,107,14
1,1,11,methylbenzoate,1,57.7,58.3,15.9
1,1,11,methylbenzoate,2,59.8,60.8,15.9
1,1,12,2E1H,1,124.9,125.4,23.4
1,1,12,2E1H,2,130,133.5,23.4
1,1,12,Blank,1,124,129,25
1,1,12,Blank,1,143.1,145.55,25
1,1,12,bromooctane,1,118.7,120,27
1,1,12,methylbenzoate,1,113.4,116.5,28
1,1,12,methylbenzoate,2,131.5,132.55,28
1,1,12,methylbenzoate,3,138.5,141.5,28
1,1,14,2E1H,1,76.85,77.6,22.9
1,1,14,2E1H,2,98.5,100.15,22.9
1,1,14,2E1H,3,101.8,102.55,22.9
1,1,14,2E1H,4,106.85,108.3,22.9
1,1,14,Blank,1,73.7,78,24.9
1,1,14,Blank,2,107.1,108.7,24.9
