"trial","run","dog","chemical","event","start_time","end_time","cal","target","sniff_freq","sniff_duration","sniff_volume","sniff_vfr","sniff_counts","total_volume"
"1","1","1","2E1H",1,71.7,72.7,44.8,TRUE,5.74142156862745,0.182500000000001,217.448686842737,1132.6175956896,4,869.79474737095
"1","1","1","Blank",1,39,43,48,FALSE,3.67511497149099,0.321666666666667,101.220007697567,338.906902814788,12,1214.6400923708
"1","1","1","Blank",1,69.2,70.7,48,FALSE,4.97795550968926,0.196666666666668,150.128075028509,804.175389749593,6,900.768450171054
"1","1","1","bromooctane",1,42,43.8,51,FALSE,5.97518417255265,0.17375,122.312714121341,687.30827644222,8,978.501712970728
"1","1","1","bromooctane",2,66.2,69.5,51,FALSE,3.76438860098987,0.248333333333334,127.79904121764,484.702214393806,12,1533.58849461168
"1","1","1","methylbenzoate",1,39,40.3,54,FALSE,6.32936507936514,0.18,69.7478576673728,285.209908303528,6,418.487146004237
"1","1","1","methylbenzoate",2,57,61.5,54,FALSE,4.27104146110197,0.2085,49.4230141949195,194.921720269113,20,988.46028389839
"1","1","1","methylbenzoate",3,64.4,67.7,54,FALSE,4.79997440774899,0.201428571428572,71.3479202193138,347.131184665531,14,998.870883070393
"1","1","2","2E1H",1,149,149.7,25.5,TRUE,4.54545454545457,0.173333333333337,75.3106527165399,279.737393652156,3,225.93195814962
"1","1","2","Blank",1,142,144.5,28.25,FALSE,3.8879138879141,0.203,68.2866556896444,243.83501080503,10,682.866556896444
"1","1","2","bromooctane",1,75,78,31,FALSE,6.30252100840355,0.202142857142858,22.6944306876239,149.667821874832,14,317.722029626735
"1","1","2","methylbenzoate",1,26.1,27.7,33.8,FALSE,5.32738095238095,0.2,106.150960552405,516.764219524997,6,636.905763314431
"1","1","10","2E1H",1,64.5,65.8,14.5,TRUE,3.3336870401811,0.195999999999998,203.22404305107,944.535949761919,5,1016.12021525535
"1","1","10","2E1H",2,82.55,84.5,14.5,TRUE,5.694131884602,0.169,176.199528272551,1025.67646837055,10,1761.99528272551
"1","1","10","2E1H",3,103.45,104.3,14.5,TRUE,6.20300751879701,0.159999999999999,213.028508226976,1195.77112284348,5,1065.14254113488
"1","1","10","Blank",1,78,81.5,16.5,FALSE,4.35591976945365,0.240714285714286,161.932418692208,484.805462628678,14,2267.05386169091
